"distrito","departamento","provincia","rango_edad","test_number","tamizaje_reactivo","year"
"JAZAN","AMAZONAS","BONGARA","30-59 años",1,0,"2019"
"JAZAN","AMAZONAS","BONGARA","18-29 años",0,0,"2020"
"JAZAN","AMAZONAS","BONGARA","12-17 años",11,0,"2021"
"JAZAN","AMAZONAS","BONGARA","18-29 años",55,0,"2021"
"JAZAN","AMAZONAS","BONGARA","30-59 años",38,0,"2021"
"JAZAN","AMAZONAS","BONGARA","12-17 años",23,0,"2022"
"JAZAN","AMAZONAS","BONGARA","18-29 años",97,0,"2022"
"JAZAN","AMAZONAS","BONGARA","30-59 años",72,0,"2022"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",1,0,"2012"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",3,0,"2012"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",2,0,"2012"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",2,0,"2013"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",6,0,"2013"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",6,0,"2013"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",3,0,"2014"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",6,0,"2014"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",7,0,"2014"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",2,0,"2015"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",9,0,"2015"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",3,0,"2015"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",4,0,"2016"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",11,0,"2016"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",14,0,"2016"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",5,0,"2017"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",5,0,"2017"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",1,0,"2018"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",1,0,"2018"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",9,0,"2018"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",5,0,"2021"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",3,0,"2021"
"JUMBILLA","AMAZONAS","BONGARA","12-17 años",1,0,"2022"
"JUMBILLA","AMAZONAS","BONGARA","18-29 años",6,0,"2022"
"JUMBILLA","AMAZONAS","BONGARA","30-59 años",10,0,"2022"
"RECTA","AMAZONAS","BONGARA","18-29 años",1,0,"2017"
"RECTA","AMAZONAS","BONGARA","30-59 años",0,0,"2018"
"RECTA","AMAZONAS","BONGARA","18-29 años",2,0,"2021"
"SAN CARLOS","AMAZONAS","BONGARA","30-59 años",1,0,"2012"
"SAN CARLOS","AMAZONAS","BONGARA","18-29 años",3,0,"2013"
"SAN CARLOS","AMAZONAS","BONGARA","18-29 años",1,0,"2014"
"SAN CARLOS","AMAZONAS","BONGARA","18-29 años",3,0,"2021"
"SAN CARLOS","AMAZONAS","BONGARA","30-59 años",1,0,"2021"
"SAN CARLOS","AMAZONAS","BONGARA","30-59 años",2,0,"2022"
